,x_avg,y_avg,z_avg,theta_x,theta_y,sigma_x,sigma_y,sigma_z,z_fwhm,sigma_px,sigma_py,alpha_x,alpha_y,beta_x,beta_y,gamma_x,gamma_y,emitt_nx,emitt_ny,emitt_nx_sl,emitt_ny_sl,ene_avg,rel_ene_sp,rel_ene_sp_sl,i_peak,q,laser_dE,laser_dzfoc,laser_dtau,laser_dT,laser_dx,laser_dy,beam_theta_x,beam_theta_y
14,9.500414600938439e-08,-4.801982437688126e-06,0.006115072839360101,-2.624125745371773e-05,0.0028025812274961367,2.01186775618963e-06,2.118388028233239e-06,2.4067566878599165e-05,6.99165493476192e-05,0.0030112064682085793,0.0015806819550693906,-0.2491771449878988,-0.8704507324639872,0.0006900385652451568,0.0016506752256746852,1539.1737550306068,1064.8275628712295,5.6463914006599225e-06,2.61661898548482e-06,3.009916699808236e-06,1.0511727539700778e-06,962.2362673968796,0.0014999738538004842,0.0006927491005403757,181.06185156698822,-4.0570464896612756e-11,0.4230803237925167,-85.95159408319863,0.35054597866410736,-6.5614170561871585,-0.19347754633025557,-8.078861773516474,0.560708854117832,0.2044502689684139
15,-5.786728352548665e-06,3.962063219882964e-06,0.006106741464559965,0.002837339770399805,-0.0024102891375275266,3.808047521795157e-06,1.853302265852316e-06,2.2998457653994626e-05,7.178186356171859e-05,0.004060091460815003,0.001394103401075953,-1.089258704322762,-0.9277293797402855,0.0014061202385497878,0.0016037091477708945,1554.9769251582272,1160.236446003681,9.968041922547854e-06,2.0660293102992e-06,2.7457522540674758e-06,1.0834461158448044e-06,965.4764482325168,0.0023939930516853063,0.0008264186747510829,153.45471933826974,-3.491723466116398e-11,-0.012308477937889178,-77.51616191691596,1.2737559301587766,9.835508746273673,-9.289909322233761,6.1808201522641015,0.8138253765744532,0.1690058482872379
16,-2.7346650143326766e-06,1.2506089634086612e-06,0.006120117499970548,0.003095747199935118,-0.0011028781465003959,2.437344990603395e-06,1.1523649693460297e-06,2.0225361589170068e-05,4.5149554081375803e-05,0.00280767684165181,0.0010015433137604214,-0.5645182679827329,-0.7368441054483045,0.0010303113751149039,0.0012197496816984132,1279.8857769954843,1264.9638355186785,5.562274509429699e-06,1.050637933985854e-06,2.6963534482669812e-06,6.209826852925878e-07,963.1493310427119,0.0017520406605945503,0.0006431769831486106,186.8399948935667,-3.1472336033020275e-11,-0.599634016167593,86.33453175440215,-0.18092030207815046,-3.0196031389662865,-6.150290678334809,2.752687479881077,0.39640343295967384,-0.3117653648398958
17,-2.0718261655895473e-07,-3.8555161207886145e-07,0.006112416125623829,0.00037458823060991595,-6.535762621895707e-05,1.96390494921546e-06,9.628687563811846e-07,2.560554214225535e-05,8.471004472726529e-05,0.0029816350466664657,0.0012562979570049442,-0.2782186117757027,-0.5410347171140171,0.0006797239961226315,0.000739647159777386,1585.0633523081044,1747.7503266715958,5.475433681567665e-06,1.2094684507246711e-06,2.768522508603447e-06,8.361165494207737e-07,964.4744701654208,0.0008877386420431629,0.0006323687058158128,135.45654525018003,-3.676837556526008e-11,0.2602881685366854,-114.43413896231426,0.8018610318713447,0.23283649212072768,-0.9328488595367439,-0.5087293626457261,0.43444307850293395,0.37520581993250407
18,5.035714310181352e-07,1.3050363611690026e-06,0.006119453968629896,3.624031366408659e-05,-0.001291259350137281,1.9902083673524466e-06,1.989173504313557e-06,2.0562710348481616e-05,4.911196601249668e-05,0.002251171693575191,0.0020711278031285956,-0.3754623918271722,-0.557420596897998,0.0009403251386991869,0.0010640840111995923,1213.3803093416836,1231.7802993473103,4.064347194798756e-06,3.5922198549087625e-06,2.560641013883047e-06,7.745333026231129e-07,963.8892219357432,0.0018841472808112582,0.0006431302547013772,220.68967282202314,-3.883523324529648e-11,0.2647326621763546,13.770120999738609,0.07782112791270591,3.0919013099926222,1.1624727958936893,3.412757034322426,-0.15505838675903,-1.2174188820535694
19,-4.041096159488657e-08,-1.9257249812635761e-07,0.006124289959865512,0.0005878759079235736,0.00035588029512963827,2.0922902038329976e-06,1.1925822806025753e-06,2.3524779666570685e-05,7.199337504646547e-05,0.0023974637230007342,0.0013776219047071231,-0.193271544630326,-0.36887465928948165,0.0008881523355884123,0.0008320926028226577,1167.9909497468493,1365.315002695751,4.759915100294165e-06,1.6501036270710756e-06,2.392449826058161e-06,5.086831900898134e-07,965.2587668193023,0.00162909936341452,0.0005267336539059217,86.69300060336352,-1.9476326073267968e-11,0.519412300929707,218.69796469742576,0.44136444356858207,-0.5007761664174989,-0.6822237194801651,-0.5952709388740495,0.0087047041500023,-0.5610093643734442
20,1.9525198659115916e-06,-5.251071381289625e-07,0.006112124139243565,-0.0009453035685234982,0.00023393286174975254,2.3046754029975745e-06,9.210261572402605e-07,2.4926463702903245e-05,7.856465665855711e-05,0.0027608004431299788,0.0011322822559369612,-0.15021092730528232,-0.5256102071836162,0.0008402425787743456,0.0007589522912473519,1216.9858425569398,1681.6157018223603,6.092945113778114e-06,1.0774210750241764e-06,3.205298408502659e-06,8.875938197209193e-07,963.7359112296098,0.001030310634528197,0.0006395059726353312,153.70612797903019,-3.717857409185016e-11,-0.25854722896011395,-99.7026827650263,0.2487991613877705,-1.4832057618543137,2.476056619889802,-0.8735157987125047,0.49316759391062104,0.1067669506677209
21,7.223918106877194e-06,-6.05721143887149e-07,0.006121638124612105,-0.0031856081540688145,0.0004726477544183978,2.9509926963904097e-06,9.542282006447345e-07,2.3017973272702666e-05,6.937579330206119e-05,0.0029342460288679993,0.0010864201660112417,-0.24386907701837388,-0.49315960564157374,0.0010334323833487006,0.0008106313819406613,1025.197336368263,1533.6272741628895,8.122869985527359e-06,1.083845859284338e-06,4.061229199496888e-06,9.075964033075738e-07,964.694249414053,0.002158609923608533,0.0009277992367791026,128.2202806597483,-2.9968575295060707e-11,1.0953498644848667,-189.63609228910926,-0.646916688254908,4.507434458243555,12.641628534031991,-1.2431738885773003,0.021834496589194553,-0.11315712125680259
22,-3.3818887428647785e-06,6.79353935475253e-07,0.006117290447966906,0.002845011483847513,-0.0010711852097027292,2.5503646454154986e-06,1.0652682825358368e-06,2.1992233377261525e-05,6.046587610048209e-05,0.002946548825986242,0.0014310285117210787,-0.5031789112719186,-0.5087162680700007,0.0010063918154317346,0.000751090615166541,1245.2297380927969,1675.9525628208708,6.230489361769287e-06,1.4555311054209596e-06,2.8875816646569847e-06,7.677444469239896e-07,962.8763024170098,0.0017172276223640318,0.0007304939749442444,206.01166254891976,-4.084626249267651e-11,0.6657285562937959,-28.73078634760189,0.6800698398781045,-1.599007994493356,-6.362793776229971,1.567738602317161,0.25159240671766303,0.6466129412661309
23,1.3180010564652125e-06,-1.9951058311958587e-07,0.006110720516123081,-0.0006901453522995693,-1.200747035255948e-05,2.0035254272801976e-06,8.665284093145645e-07,2.3192029748741008e-05,6.574408725977532e-05,0.0027600067077982807,0.0011355710120724437,-0.14083614475774828,-0.5596219543486238,0.0007303689188736521,0.0007322071787910032,1396.3283394410826,1793.4496817652735,5.298354608385125e-06,9.88659508038836e-07,2.908936847768659e-06,8.256202359574052e-07,963.9058256762637,0.0012275616409816426,0.0006039882405406928,186.4805113905018,-3.9685785011405493e-11,-0.055223513208658155,-61.736206371236094,0.5627610966190263,1.2036854611886612,1.4033253856131953,-0.3655635187363888,0.5801692849968848,0.18474635818786186
